First Name;Family Name;Country;Room Type;Days Rented;Season;Month;MonthNumber;Price;AdjustedDays
Liam;Nguyen;China;Spa Executive;1;mid;April;4;2577;1
Zhang;Rossi;Mexico;Grand Lit;3;low;January;1;3360;2
Carlos;Khan;China;Standard Single;5;high;August;8;6420;7
Hiroshi;Kim;Russia;LOFT Suite;2;mid;October;10;6922;2
Muhammad;Martinez;Vietnam;Suite;4;mid;October;10;12784;4
Lucas;Khan;Australia;Standard Double;10;high;August;8;16700;13
Hiroshi;Nguyen;Australia;Suite;1;low;November;11;2522;1
Santiago;Schneider;Canada;LOFT Suite;5;low;January;1;15995;4
Santiago;Khan;Nigeria;Standard Double;2;low;December;12;2530;2
Lucas;Garcia;Spain;Standard Double;9;mid;October;10;14400;10
Maria;Rossi;Japan;Grand Lit;4;high;June;6;6064;5
Chen;Garcia;Spain;Grand Lit;7;high;August;8;12096;9
Maria;Silva;India;Junior Suite;5;mid;September;9;10020;6
Sara;Garcia;Italy;Standard Single;6;high;July;7;7452;8
Isabella;Johansson;Spain;Spa Executive;3;high;July;7;7935;4
Carlos;Garcia;United Kingdom;Standard Single;8;low;January;1;7272;6
Carlos;Hassan;Canada;LOFT Suite;6;high;July;7;22686;8
Ingrid;Ivanov;Russia;Grand Lit;9;mid;May;5;10944;10
Fatima;Nguyen;Vietnam;LOFT Suite;1;low;November;11;3151;1
David;Patel;Mexico;Standard Double;2;low;February;2;2432;2
Elena;Müller;India;Superior Double;3;low;November;11;4389;2
Lucas;Smith;Nigeria;Standard Single;7;high;June;6;10087;9
Santiago;Dubois;Egypt;LOFT Suite;2;high;July;7;7934;3
John;Nguyen;France;Standard Double;6;low;March;3;7734;5
Aisha;Khan;India;Junior Suite;5;low;February;2;10915;4
Ingrid;Khan;Italy;Suite;7;high;June;6;21315;9
Lucas;Martinez;South Korea;Grand Lit;9;low;March;3;9963;7
Olivia;Rossi;Vietnam;LOFT Suite;6;low;December;12;19524;5
Aisha;Sato;Pakistan;Standard Double;8;mid;May;5;12072;9
Fatima;Martinez;Mexico;Standard Single;8;mid;May;5;9272;9
Santiago;Rossi;Brazil;Junior Suite;2;high;August;8;4876;3
Aisha;Dubois;Japan;Standard Single;6;low;February;2;5526;5
Ingrid;Hassan;India;Suite;8;high;June;6;24080;10
Isabella;Johansson;South Korea;Standard Single;7;mid;May;5;7441;8
John;Brown;Nigeria;Junior Suite;10;mid;September;9;21200;11
Zhang;Brown;Sweden;Spa Executive;1;high;July;7;2512;1
Hiroshi;Kim;Sweden;Superior Double;6;low;December;12;8790;5
Lucas;Müller;Germany;Superior Double;6;mid;April;4;9192;7
Elena;Smith;Canada;Junior Suite;10;low;March;3;20510;8
Ingrid;Yamamoto;Spain;Grand Lit;5;mid;October;10;6850;6
Zhang;Garcia;India;Junior Suite;5;mid;October;10;10115;6
Santiago;Johansson;Spain;Standard Single;10;low;December;12;9720;8
Carlos;Nguyen;Japan;Junior Suite;1;high;June;6;2498;1
Liam;Sato;Vietnam;Standard Single;4;mid;April;4;4832;4
Santiago;Khan;Australia;Spa Executive;4;low;February;2;8572;3
David;Johansson;United Kingdom;Superior Double;1;low;March;3;1489;1
Hiroshi;Garcia;South Korea;LOFT Suite;10;low;January;1;34260;8
Carlos;Kim;Italy;Junior Suite;7;low;March;3;15295;6
Fatima;Martinez;Japan;Junior Suite;1;mid;May;5;2094;1
Fatima;Brown;China;Junior Suite;8;mid;September;9;18184;9
Sophia;Smith;India;Suite;9;mid;May;5;26100;10
Olivia;Khan;Pakistan;Grand Lit;2;low;November;11;2720;2
Carlos;Müller;India;Superior Double;6;low;December;12;8658;5
Isabella;Yamamoto;Pakistan;Spa Executive;3;mid;April;4;6636;3
John;Martinez;United Kingdom;Grand Lit;8;mid;May;5;10792;9
Zhang;Patel;Mexico;Spa Executive;1;mid;October;10;2523;1
Ahmed;Müller;Italy;Suite;6;mid;October;10;17934;7
Muhammad;Nguyen;Nigeria;Standard Double;9;mid;April;4;13851;10
